lead_id,company_name,industry,lead_source,sales_rep,region,created_date,current_stage,stage_last_updated,last_contact_date,deal_value_raw,lost_reason,notes
LD1460,PT. Maju Terus,F&B,Social Media,Siti Nurhaliza,Semarang,30-Jul-2024,Closed Won,28/08/2024,08-28-2024,129017000,,
LD1574,UD Anugrah Sentosa,,Email Campaign,budi santoso,,04-05-2025,Closed Won,02/07/2025,15-Jul-2025,7436000,,VIP client
LD1422,CV Central Distribusi,Retail,,Siti Nurhaliza,Jakarta,2025-02-22,Qualified,2025-05-13,28/03/2025,96192000,,
LD1171,UD Nusantara Jaya,Education,,Rina Marlina,Semarang,21-Jan-2024,Closed Won,2024/01/18,2024-02-17,3253000,,VIP client
LD1561,PT Cahaya Abadi,Finance,Social Media,Andi Wijaya,Denpasar,03-24-2024,Closed Lost,2024-05-18,,57602000,,Needs approval from board
LD1415,CV Berkah Mandiri,Education,Partner,Dewi Lestari,Bandung,03-Jun-2025,Lead In,2025-08-02,08-15-2025,,,Follow up next week
LD1011,PT. Cahaya Abadi,Logistics,Website,Ahmad Fauzi,Bandung,30-Aug-2024,Contacted,01/11/2024,05/10/2024,,,VIP client
LD1664,CV Sejahtera Bersama,retail,,Siti Nurhaliza,bandung,18-Dec-2024,Closed Won,29/12/2024,01-12-2025,46415000,,
LD1475,PT Karya Utama,Retail,Social Media,Siti Nurhaliza,,2025-04-03,Negotiation,17-May-2025,2025-04-12,7922000,,Waiting for PO
LD1813,UD Indo Sukses,Construction,Referral,Rina Marlina,Yogyakarta,2025/08/28,Proposal Sent,2025/11/08,,72746000,,Client on vacation
LD1019,UD Sumber Makmur,Education,Cold Call,Andi Wijaya,Makassar,07-16-2024,Qualified,21-Aug-2024,,96939000,,Needs approval from board
LD1112,PT HARAPAN BARU,Manufacturing ,,Siti Nurhaliza,,26/12/2024,Contacted,2025-03-06,01/01/2025,,,Needs approval from board
LD1097,PT. Sejahtera Bersama,F&B,website,,,21-Apr-2024,Proposal Sent,06-Jul-2024,21/04/2024,Rp 9.513.000,,
LD1220,CV Prima Nusantara,Finance,Inbound Call,Rina Marlina,JAKARTA,2024/08/23,Closed Won,10-15-2024,14/09/2024,,,Client on vacation
LD1393,CV Sejahtera Bersama,F&B,Inbound Call,Rudi Hartono,,2025/06/29,Qualified,2025-08-16,30/08/2025,65572000,,
LD1084,PT. Harapan Baru,F&B,Trade Show,Andi wijaya,JAKARTA,2025/01/04,Proposal Sent,02-21-2025,13/02/2025,147486000,,Send revised proposal
LD1533,CV Prima Nusantara,,referral,Siti Nurhaliza,bandung,21-Mar-2024,Contacted,2024-04-08,,,,Follow up next week
LD1646,UD Tunas Muda,Logistics,Email Campaign,Ahmad Fauzi,,05-24-2025,Contacted,13/06/2025,31/05/2025,,,
LD1678,PT Sejahtera Bersama,F&B,Partner,Yuni Shara,Yogyakarta,2025/04/05,Qualified,2025/04/30,22/04/2025,42879000,,Send revised proposal
LD1046,CV Central Distribusi,Manufacturing ,Referral,Dewi Lestari,Semarang,18-Jan-2025,Qualified,02-19-2025,2025/02/03,85757000,,
LD1103,UD Sumber Makmur,Technology,,Budi Santoso,Palembang,2024/04/03,Closed Won,2024-05-31,,69108000,,Client on vacation
LD1740,PT. Berkah Mandiri,Education,Trade Show,Budi Santoso,JAKARTA,2024-09-28,Lead In,2024/10/28,11-01-2024,,,VIP client
LD1611,UD Global Teknindo,Manufacturing ,Website,Andi Wijaya,JAKARTA,2025/01/04,Closed Won,2025-03-03,2025/02/25,35697000,,Send revised proposal
LD1004,PT. Karya Utama,Education,referral,budi santoso,Yogyakarta,02/02/2024,Closed Won,2024/03/25,27-Mar-2024,131702000,,Needs approval from board
LD1291,PT. Mitra Sejahtera,Finance,Inbound Call,Rudi Hartono,Semarang,2024-07-16,Lead In,09-30-2024,2024-09-11,,,
LD1187,UD Harapan Baru,Healthcare,Inbound Call,,Semarang,07-16-2025,Lead In,2025/07/28,2025/07/27,,,Follow up next week
LD1661,PT Bumi Perkasa,Retail,website,Budi Santoso,Jakarta,08-11-2025,Negotiation,06/09/2025,01/09/2025,111293000,,Client on vacation
LD1810,CV Prima Nusantara,retail,website,,Yogyakarta,30/01/2025,Closed Lost,2025-04-12,08/02/2025,116404000,Chose competitor,Send revised proposal
LD1606,CV Sejahtera Bersama,F&B,,Ahmad Fauzi,,2024/04/21,Negotiation,19-May-2024,2024/05/01,71838000,,
LD1289,PT. Bumi Perkasa,Education,Cold Call ,Rina Marlina,Denpasar,05-17-2025,Qualified,2025-07-08,,117579000,,
LD1467,PT. Mitra Sejahtera,,Trade Show,budi santoso,Makassar,2024-05-21,Closed Won,13/08/2024,2024-08-24,81735000,,
LD1499,PT Cahaya Abadi,Retail,,Budi Santoso,JAKARTA,23-Jun-2024,Lead In,08-10-2024,,,,Client on vacation
LD1213,PT. Global Teknindo,Finance,LinkedIn,Budi Santoso,Makassar,01-25-2025,Qualified,25-Apr-2025,02-09-2025,64972000,,Needs approval from board
LD1469,PT Sumber Makmur,F&B,,Ahmad Fauzi,jakarta,02-25-2024,Negotiation,20-May-2024,25-Apr-2024,72570000,,VIP client
LD1240,PT Anugrah Sentosa,Manufacturing ,,Siti Nurhaliza,Semarang,2025-08-07,Proposal Sent,2025/09/26,08-14-2025,39879000,,Needs approval from board
LD1221,PT Bumi Perkasa,retail,Inbound Call,,Semarang,13-Jul-2024,Proposal Sent,08-08-2024,2024/07/13,37824000,,VIP client
LD1312,PT. MAJU TERUS,Logistics,Cold Call ,Rina Marlina,Bandung,18-Jul-2024,Proposal Sent,04-Oct-2024,,141624000,,Send revised proposal
LD1337,PT Harapan Baru,Logistics,Partner,budi santoso,Bandung,02-20-2025,Closed Won,05-17-2025,2025/03/03,15365000,,
LD1295,UD Nusantara Jaya,F&B,,Yuni Shara,Palembang,23-Mar-2024,Lead In,15/04/2024,,,,Waiting for PO
LD1671,PT. Mitra Sejahtera,,LinkedIn,Yuni Shara,Jakarta,01-08-2024,Proposal Sent,2024/04/05,,11292000,,
LD1398,CV Indo Sukses,Technology,LinkedIn,Dewi Lestari,Semarang,02-Nov-2024,Qualified,12-17-2024,2024-12-05,61764000,,VIP client
LD1371,UD Mitra Sejahtera,Education,Trade Show,Yuni Shara,Makassar,2024/05/25,Negotiation,18/07/2024,21/07/2024,Rp 33.906.000,,Needs approval from board
LD1327,CV Prima Nusantara,Finance,website,Siti Nurhaliza,Denpasar,24-Aug-2024,Proposal Sent,23-Aug-2024,2024/09/24,124886000,,Follow up next week
LD1790,CV Cipta Karya,Retail,,Rudi Hartono,,2024/08/09,Qualified,2024/09/08,31-Aug-2024,91155000,,
LD1738,UD Harapan Baru,retail,Email Campaign,Andi wijaya,Makassar,2024/08/04,Contacted,2024/10/31,08-29-2024,,,
LD1581,PT Tunas Muda,Manufacturing,Cold Call ,,Palembang,18/10/2024,Qualified,2025/01/13,2025/01/09,7154000,,
LD1331,PT. Nusantara Jaya,,Trade Show,Rudi Hartono,Jakarta,11-Dec-2024,Contacted,02-18-2025,2025/02/09,,,Client on vacation
LD1293,PT Bumi Perkasa,Manufacturing,,Andi wijaya,Surabaya,2024/09/05,Negotiation,2024/09/04,17/09/2024,135890000,,Needs approval from board
LD1607,UD Sejahtera Bersama,Construction,Trade Show,Andi wijaya,Medan,02-Mar-2025,Negotiation,04-06-2025,02/03/2025,125497000,,Needs approval from board
LD1357,PT. Delta Solusi,Construction,Cold Call,Andi wijaya,,29-Mar-2024,Qualified,28-May-2024,04-Apr-2024,135557000,,
LD1201,PT Central Distribusi,Construction,referral,Andi Wijaya,Palembang,03-15-2024,Qualified,2024-05-19,2024/05/23,14803000,,
LD1012,PT Sejahtera Bersama,Finance,Partner,Yuni Shara,Yogyakarta,30/10/2024,Contacted,2024-11-07,,,,VIP client
LD1193,UD Sinar Jaya,Retail,Inbound Call,Rudi Hartono,jakarta,2025-01-25,Contacted,04-21-2025,23-Apr-2025,,,Follow up next week
LD1458,UD Karya Utama,Technology,,Budi Santoso,Denpasar,2024/08/13,Qualified,09-17-2024,08-26-2024,27324000,,
LD1468,PT. Berkah Mandiri,F&B,referral,Budi Santoso,Palembang,2025-01-06,Proposal Sent,24-Jan-2025,01-13-2025,10817000,,
LD1427,PT Karya Utama,,Inbound Call,Yuni Shara,JAKARTA,2024/10/14,Contacted,2024-11-16,11-04-2024,,,
LD1241,PT Anugrah Sentosa,Technology,website,Siti Nurhaliza,Palembang,25/06/2025,Lead In,2025/07/05,12/07/2025,,,Follow up next week
LD1812,UD Karya Utama,Manufacturing,Inbound Call,Siti Nurhaliza,Bandung,2024/08/07,Closed Won,2024/10/07,2024-08-11,120223000.0 ,,
LD1294,UD Cipta Karya,F&B,referral,Andi wijaya,Jakarta,25/11/2024,Closed Won,2024-12-23,01-Dec-2024,89777000,,
LD1416,PT. Nusantara Jaya,Finance,,Rudi Hartono,Makassar,11-Feb-2025,Qualified,04-13-2025,02-Mar-2025,Rp 114.528.000,,
LD1553,PT. Sejahtera Bersama,F&B,Cold Call ,Ahmad Fauzi,Palembang,29/11/2024,Contacted,2025-01-23,01-29-2025,,,Send revised proposal
LD1237,PT. Anugrah Sentosa,,Email Campaign,Rina Marlina,bandung,2025/03/25,Negotiation,28/03/2025,2025-04-08,135002000,,
LD1288,PT Central Distribusi,Manufacturing ,Inbound Call,Budi Santoso,Jakarta,2024/03/15,Lead In,2024-04-17,2024/04/08,,,Client on vacation
LD1141,CV Cahaya Abadi,Education,,Ahmad Fauzi,Yogyakarta,05-Aug-2025,Qualified,2025-10-14,2025/10/24,114883000.0 ,,Needs approval from board
LD1484,PT. Prima Nusantara,Manufacturing,,Siti Nurhaliza,JAKARTA,2025/06/19,Closed Lost,2025/08/01,2025-06-24,28020000,,
LD1060,UD Sumber Makmur,Healthcare,LinkedIn,Rudi Hartono,bandung,24-Jul-2025,Lead In,2025-10-17,24/07/2025,,,
LD1477,PT Mega Trading,Finance,Website,Dewi Lestari,Palembang,12/05/2024,Qualified,2024/07/17,13-May-2024,102966000,,
LD1534,PT. Sumber Makmur,Technology,Trade Show,Yuni Shara,Jakarta,01-22-2024,Proposal Sent,2024-01-27,2024/01/28,89060000,,Needs approval from board
LD1373,PT Delta Solusi,Retail,,Yuni Shara,Yogyakarta,2025-07-26,Lead In,10-14-2025,10/08/2025,,,VIP client
LD1147,PT Berkah Mandiri,Retail,Inbound Call,Budi Santoso,bandung,2024/09/05,Qualified,20/11/2024,28-Nov-2024,149672000,,Waiting for PO
LD1047,UD Nusantara Jaya,Construction,Social Media,Rudi Hartono,Surabaya,06-10-2024,Lead In,2024/07/25,08-03-2024,,,Follow up next week
LD1619,CV Sumber Makmur,Healthcare,Cold Call,Ahmad Fauzi,Denpasar,02-28-2025,Closed Won,2025-04-23,02-Apr-2025,140571000,,
LD1190,PT. Delta Solusi,retail,Email Campaign,Andi Wijaya,Palembang,2025/05/25,Lead In,2025/06/01,05-30-2025,,,
LD1801,PT Indo Sukses,F&B,website,,,09/04/2025,Qualified,2025-04-17,14-Apr-2025,140853000.0 ,,Client on vacation
LD1151,CV Karya Utama,Manufacturing ,Trade Show,Rina Marlina,Denpasar,2024-02-01,Closed Lost,30/03/2024,11-Feb-2024,83418000,Project cancelled,
LD1757,PT Karya Utama,retail,Cold Call ,budi santoso,Medan,08-03-2025,Closed Lost,17-Aug-2025,,43856000,No response,
LD1005,UD Cipta Karya,Manufacturing,Website,,Palembang,04-03-2024,Negotiation,2024-04-18,04-24-2024,90269000,,Waiting for PO
LD1449,CV Maju Terus,,Website,Rina Marlina,,08-Feb-2025,Qualified,27-Mar-2025,,18087000,,Waiting for PO
LD1473,PT Sejahtera Bersama,Finance,LinkedIn,budi santoso,JAKARTA,09-Jan-2024,Closed Lost,2024/02/15,2024-02-29,59815000,Price too high,
LD1516,PT Anugrah Sentosa,Technology,Email Campaign,Yuni Shara,jakarta,10-03-2024,Closed Won,2024-12-26,28-Dec-2024,85686000,,
LD1805,PT Tunas Muda,Finance,Email Campaign,Yuni Shara,Medan,2025/04/03,Qualified,29-Apr-2025,12/04/2025,140218000,,
LD1297,PT. Central Distribusi,Manufacturing ,Inbound Call,Budi Santoso,Jakarta,2024/07/17,Contacted,06-Aug-2024,2024-08-09,,,Needs approval from board
LD1023,PT Nusantara Jaya,Retail,,budi santoso,Semarang,15-Mar-2024,Qualified,2024/06/04,2024/05/25,108315000.0 ,,
LD1058,PT. Mitra Sejahtera,Manufacturing,website,Siti Nurhaliza,Medan,2024/08/21,Qualified,2024/10/19,10-07-2024,48253000,,VIP client
LD1447,CV Prima Nusantara,Retail,Inbound Call,budi santoso,,2024-08-06,Lead In,2024/10/26,04-Oct-2024,,,Send revised proposal
LD1222,CV Cahaya Abadi,Retail,Trade Show,Yuni Shara,Yogyakarta,2024-11-18,Proposal Sent,2025/01/31,21-Jan-2025,137569000,,
LD1236,UD Cahaya Abadi,Finance,Inbound Call,Andi Wijaya,Palembang,2024/09/11,Contacted,09-23-2024,,,,Send revised proposal
LD1345,PT. Karya Utama,Technology,LinkedIn,Ahmad Fauzi,Denpasar,2024-10-24,Closed Lost,2024/11/24,2024-12-08,Rp 103.272.000,,
LD1708,UD Mega Trading,retail,Inbound Call,Dewi Lestari,,11-16-2024,Closed Lost,2024/12/28,2025/01/11,47339000,Project cancelled,Follow up next week
LD1781,CV Indo Sukses,Retail,,Rina Marlina,jakarta,2025/04/28,Proposal Sent,2025/07/01,05-07-2025,19716000,,
LD1008,UD Tunas Muda,Technology,Social Media,Siti Nurhaliza,Surabaya,2024/09/28,Proposal Sent,15/12/2024,2024-10-06,33346000,,
LD1001,PT. Berkah Mandiri,F&B,Cold Call,Budi Santoso,,07-28-2025,Contacted,2025-10-20,2025-10-25,,,Waiting for PO
LD1622,PT. Delta Solusi,F&B,Partner,Rudi Hartono,,2024-08-19,Contacted,12-Nov-2024,2024-09-29,,,
LD1407,PT. Sinar Jaya,Education,,Budi Santoso,Denpasar,2024-04-12,Contacted,2024/04/28,21/04/2024,,,
LD1572,PT Sinar Jaya,F&B,Inbound Call,Budi Santoso,,31/03/2024,Contacted,04-12-2024,,,,Client on vacation
LD1363,PT. Sumber Makmur,Education,,Yuni Shara,bandung,26-Oct-2024,Negotiation,12-30-2024,29/12/2024,130833000,,Waiting for PO
LD1697,PT. Indo Sukses,,,Siti Nurhaliza,Medan,26-Aug-2025,Closed Won,2025-11-16,09-Nov-2025,6665000,,Client on vacation
LD1796,CV Sejahtera Bersama,Construction,Referral,Dewi Lestari,bandung,09/03/2024,Negotiation,29/02/2024,2024-03-15,101846000,,
LD1062,PT. Harapan Baru,retail,Website,Dewi Lestari,Medan,05/10/2024,Qualified,11-29-2024,,67423000,,Waiting for PO
LD1412,PT Prima Nusantara,Manufacturing,Trade Show,Dewi Lestari,Makassar,19/01/2024,Proposal Sent,03-Apr-2024,,77632000,,Send revised proposal
LD1645,PT. Sumber Makmur,Education,Email Campaign,Siti Nurhaliza,,09/04/2024,Closed Won,2024-04-29,,86950000,,
LD1108,CV Prima Nusantara,Finance,Referral,Yuni Shara,Jakarta,20-Jan-2025,Contacted,30/03/2025,03-13-2025,,,VIP client
LD1451,PT. Mitra Sejahtera,,referral,Andi wijaya,jakarta,12-18-2024,Proposal Sent,16/03/2025,21-Feb-2025,102390000,,Waiting for PO
LD1660,CV Indo Sukses,Retail,Trade Show,Andi Wijaya,Semarang,2025/02/26,Lead In,26/03/2025,11-Mar-2025,,,
LD1627,CV Mega Trading,Construction,website,Budi Santoso,,18/06/2025,Closed Lost,18-Aug-2025,,2052000,No budget,Follow up next week
LD1612,UD Cipta Karya,Manufacturing,Partner,Rina Marlina,Denpasar,2025/01/17,Lead In,14/03/2025,2025/01/26,,,VIP client
LD1387,PT Sejahtera Bersama,Finance,Inbound Call,Budi Santoso,Semarang,2024/04/08,Proposal Sent,2024-05-31,2024/05/20,3570000,,
LD1376,UD Tunas Muda,Construction,website,Yuni Shara,Jakarta,2025/01/19,Closed Lost,2025-02-04,02/02/2025,37001000,Price too high,Waiting for PO
LD1791,UD Cipta Karya,Manufacturing,Trade Show,,Bandung,2024-12-15,Lead In,03/01/2025,2025-01-08,,,Client on vacation
LD1576,PT Tunas Muda,,Social Media,Andi wijaya,Makassar,06-11-2024,Qualified,07-24-2024,2024/07/08,135641000,,Send revised proposal
LD1755,CV Prima Nusantara,Finance,Trade Show,Budi Santoso,Semarang,23/10/2024,Contacted,07-Nov-2024,25/10/2024,,,Client on vacation
LD1644,PT. PRIMA NUSANTARA,Manufacturing,Partner,Andi wijaya,bandung,2024/06/21,Lead In,15/06/2024,07-13-2024,,,
LD1255,PT. Maju Terus,F&B,Trade Show,Yuni Shara,Semarang,2025-08-03,Proposal Sent,10-19-2025,23-Aug-2025,103845000,,
LD1281,PT Mega Trading,Logistics,Partner,Andi Wijaya,Denpasar,20/10/2024,Proposal Sent,06-Nov-2024,12/11/2024,21616000,,Waiting for PO
LD1846,PT Sinar Jaya,Education,Trade Show,Andi wijaya,JAKARTA,2025/06/03,Qualified,05-Jun-2025,,11134000,,
LD1541,CV Indo Sukses,Technology,Inbound Call,Siti Nurhaliza,JAKARTA,04-Aug-2024,Closed Won,2024/10/09,2024-10-15,111822000,,
LD1052,PT Cahaya Abadi,Technology,Social Media,Siti Nurhaliza,JAKARTA,2025/07/28,Qualified,15-Oct-2025,,136589000,,Send revised proposal
LD1383,PT Nusantara Jaya,Healthcare,Inbound Call,Budi Santoso,,2025/06/19,Negotiation,25-Jul-2025,16-Jul-2025,104562000,,Needs approval from board
LD1670,CV Sinar Jaya,retail,,Andi wijaya,Bandung,06-29-2024,Closed Lost,02/08/2024,2024/07/25,82216000,Project cancelled,Follow up next week
LD1120,PT Sinar Jaya,Manufacturing,Trade Show,Rudi Hartono,Semarang,22-May-2024,Contacted,2024/06/26,2024/06/14,,,Follow up next week
LD1669,PT. Mega Trading,Manufacturing ,Social Media,Rudi Hartono,Palembang,2025/03/19,Negotiation,2025-04-18,2025-04-25,108113000,,
LD1083,UD Prima Nusantara,Healthcare,LinkedIn,,jakarta,25/06/2024,Closed Won,21-Aug-2024,2024-08-29,148013000,,Follow up next week
LD1621,CV Karya Utama,Manufacturing ,Referral,Andi Wijaya,Surabaya,2025/05/02,Qualified,2025-06-04,07/05/2025,99143000,,Needs approval from board
LD1303,PT Mitra Sejahtera,Retail,LinkedIn,Rina Marlina,Yogyakarta,25/01/2024,Closed Lost,2024-03-25,2024/03/02,118899000,Project cancelled,
LD1830,CV Sejahtera Bersama,F&B,Partner,,bandung,2024/06/02,Negotiation,09/07/2024,06-11-2024,,,Needs approval from board
LD1793,PT. Harapan Baru,retail,website,,Surabaya,2024-06-17,Qualified,08-Jun-2024,2024/07/08,66269000,,
LD1104,PT. Indo Sukses,Finance,Inbound Call,,,2024/03/11,Closed Lost,11-May-2024,2024/03/28,115342000,Timing not right,
LD1067,PT Mega Trading,Finance,Trade Show,Yuni Shara,Makassar,2024/02/27,Qualified,08/03/2024,03-23-2024,68883000,,
LD1582,PT Mega Trading,Logistics,Social Media,budi santoso,bandung,28/01/2025,Negotiation,30-Jan-2025,2025/02/07,116161000,,Client on vacation
LD1089,CV Delta Solusi,retail,Website,Rudi Hartono,Semarang,12-Jun-2024,Proposal Sent,17/08/2024,08-11-2024,15327000,,
LD1402,PT Karya Utama,Technology,Social Media,Siti Nurhaliza,Medan,12-Jan-2024,Contacted,05/03/2024,2024/01/28,,,Waiting for PO
LD1195,UD Tunas Muda,F&B,Inbound Call,Siti Nurhaliza,jakarta,03-29-2025,Closed Won,2025/06/19,07-01-2025,97850000,,Needs approval from board
LD1276,PT Cipta Karya,Education,Cold Call ,Siti Nurhaliza,,04-01-2024,Proposal Sent,19-Jun-2024,04-Apr-2024,45539000,,
LD1336,UD Cipta Karya,Logistics,,Budi Santoso,Palembang,10-06-2024,Contacted,2024-11-09,,,,
LD1692,PT. Sinar Jaya,Education,Cold Call ,Yuni Shara,bandung,12-Apr-2025,Closed Won,06-21-2025,30-Apr-2025,99473000,,Send revised proposal
LD1680,PT Global Teknindo,Education,referral,Andi wijaya,Semarang,2025-07-22,Contacted,2025-09-17,08-11-2025,,,Client on vacation
LD1119,UD INDO SUKSES,Manufacturing,Trade Show,Ahmad Fauzi,,27/01/2024,Lead In,07-Apr-2024,07/04/2024,,,Follow up next week
LD1192,PT. Delta Solusi,,Inbound Call,Ahmad Fauzi,Denpasar,2024/10/24,Negotiation,2025-01-19,2024-12-31,28316000,,Needs approval from board
LD1792,PT Global Teknindo,Finance,,Rudi Hartono,Medan,07-29-2025,Proposal Sent,2025-09-22,2025-08-17,115441000,,Waiting for PO
LD1070,UD Sumber Makmur,Logistics,Referral,Dewi Lestari,bandung,05-12-2024,Proposal Sent,2024-05-23,2024/05/18,57749000,,
LD1367,UD BUMI PERKASA,Education,Inbound Call,Siti Nurhaliza,Semarang,06/07/2025,Proposal Sent,2025/08/06,2025/08/11,46983000,,Send revised proposal
LD1849,UD Mega Trading,Education,Cold Call,Yuni Shara,Yogyakarta,07-05-2024,Qualified,2024-07-11,,43890000,,
LD1400,PT. Indo Sukses,Construction,Trade Show,Siti Nurhaliza,Yogyakarta,29-Nov-2024,Proposal Sent,02-10-2025,2024-12-23,142990000,,Client on vacation
LD1245,PT. Mitra Sejahtera,Construction,,Rina Marlina,bandung,20/03/2024,Negotiation,2024/05/21,2024-05-12,124204000,,
LD1725,UD Cahaya Abadi,Logistics,Partner,Siti Nurhaliza,Semarang,2024/01/26,Proposal Sent,2024/04/16,2024/03/21,120180000,,
LD1691,PT Delta Solusi,Logistics,Trade Show,budi santoso,Palembang,2024-07-11,Contacted,2024/09/07,08-09-2024,,,
LD1246,CV Sejahtera Bersama,Manufacturing ,referral,Andi Wijaya,Jakarta,2025-01-26,Lead In,04/04/2025,17-Mar-2025,,,
LD1161,PT PRIMA NUSANTARA,Healthcare,Cold Call,Siti Nurhaliza,JAKARTA,2025/07/13,Qualified,2025-09-13,08-03-2025,Rp 35.386.000,,
LD1709,CV Bumi Perkasa,Technology,Cold Call,,Surabaya,24-Nov-2024,Contacted,23-Jan-2025,01-06-2025,,,Send revised proposal
LD1436,CV Mega Trading,Healthcare,Website,budi santoso,Semarang,06/03/2024,Proposal Sent,2024-05-20,,123186000,,
LD1306,PT. Sinar Jaya,Education,website,Siti Nurhaliza,jakarta,11/01/2025,Negotiation,2025/04/10,2025-01-25,Rp 134.002.000,,Send revised proposal
LD1079,UD Mitra Sejahtera,F&B,website,Ahmad Fauzi,Makassar,05-07-2024,Negotiation,07-02-2024,15-Jul-2024,112010000,,
LD1465,UD Global Teknindo,Retail,LinkedIn,Siti Nurhaliza,,04-Jul-2024,Proposal Sent,24-Jul-2024,13-Jul-2024,103700000,,
LD1270,UD Mega Trading,F&B,Email Campaign,Yuni Shara,Jakarta,2025-07-27,Proposal Sent,2025-08-23,28-Jul-2025,141605000,,
LD1649,CV Sejahtera Bersama,Education,Email Campaign,Budi Santoso,Jakarta,12-Feb-2024,Contacted,2024/02/24,2024/02/24,,,VIP client
LD1389,CV Anugrah Sentosa,Logistics,Cold Call ,Dewi Lestari,Denpasar,2024/12/17,Qualified,12-19-2024,2024/12/31,99336000,,Client on vacation
LD1605,PT. Central Distribusi,Education,website,Ahmad Fauzi,Denpasar,2024/10/08,Proposal Sent,12/12/2024,20/10/2024,Rp 141.963.000,,Send revised proposal
LD1290,CV Prima Nusantara,Healthcare,website,,Palembang,15/04/2025,Negotiation,2025-05-23,,,,Send revised proposal
LD1624,PT Sejahtera Bersama,Healthcare,Cold Call,Siti Nurhaliza,,13/10/2024,Proposal Sent,18-Dec-2024,2024-12-06,39782000,,VIP client
LD1640,PT Maju Terus,Manufacturing ,LinkedIn,Andi Wijaya,JAKARTA,2025-03-22,Lead In,2025/03/14,,,,Waiting for PO
LD1448,PT. Anugrah Sentosa,Manufacturing,Email Campaign,Andi Wijaya,Medan,12-02-2024,Qualified,29/11/2024,31-Dec-2024,,,
LD1647,PT Central Distribusi,Finance,Inbound Call,Andi wijaya,JAKARTA,2025/05/17,Contacted,2025/07/08,2025/05/28,,,Client on vacation
LD1338,PT Central Distribusi,Finance,LinkedIn,Siti Nurhaliza,bandung,03/02/2025,Closed Won,03-06-2025,02-Mar-2025,33688000,,Follow up next week
LD1262,UD Cahaya Abadi,Construction,Cold Call,Rina Marlina,bandung,02/03/2025,Closed Lost,2025-03-23,03-06-2025,92441000,,
LD1413,PT Harapan Baru,Education,Trade Show,,,28/07/2024,Proposal Sent,2024/08/28,2024-07-29,111410000,,Client on vacation
LD1531,UD Maju Terus,retail,referral,Rudi Hartono,jakarta,2024-02-28,Contacted,03-23-2024,2024/03/24,,,
LD1512,CV Mitra Sejahtera,retail,Referral,Dewi Lestari,Medan,09-14-2024,Contacted,21/10/2024,19-Sep-2024,,,
LD1832,PT KARYA UTAMA,Manufacturing,Social Media,Budi Santoso,Medan,03-10-2025,Closed Lost,2025-05-20,25/04/2025,56270000,,Follow up next week
LD1685,CV Anugrah Sentosa,Healthcare,Cold Call,Rina Marlina,Surabaya,15-Oct-2024,Contacted,2024/12/02,2024/11/17,,,Waiting for PO
LD1821,UD Berkah Mandiri,Healthcare,,budi santoso,Surabaya,13-Apr-2024,Negotiation,25-May-2024,18-May-2024,88606000,,Waiting for PO
LD1329,PT Indo Sukses,Manufacturing ,Partner,Ahmad Fauzi,Makassar,2025-05-18,Qualified,2025/06/27,2025-06-09,101904000,,Waiting for PO
LD1123,PT. Cipta Karya,Retail,,Ahmad Fauzi,Yogyakarta,2025-01-21,Lead In,2025-04-08,08/03/2025,,,VIP client
LD1724,PT. Mitra Sejahtera,F&B,referral,Rudi Hartono,Yogyakarta,2024/02/24,Qualified,04-14-2024,2024-02-25,Rp 45.505.000,,
LD1601,PT Indo Sukses,Education,Cold Call ,budi santoso,JAKARTA,2024-05-02,Proposal Sent,17-Jun-2024,2024/06/06,86272000,,VIP client
LD1629,PT Indo Sukses,Logistics,Cold Call,Siti Nurhaliza,Denpasar,25/08/2024,Proposal Sent,2024/10/03,2024-09-21,24744000,,Send revised proposal
LD1351,UD Sinar Jaya,Retail,,Ahmad Fauzi,JAKARTA,04/08/2024,Closed Won,2024-10-26,08-30-2024,Rp 82.979.000,,Needs approval from board
LD1459,UD Berkah Mandiri,Retail,Cold Call,Andi Wijaya,Bandung,03-26-2024,Closed Lost,2024/06/05,2024/06/02,21775000.0 ,Chose competitor,Needs approval from board
LD1662,UD Bumi Perkasa,Construction,Referral,Andi Wijaya,jakarta,2024/08/06,Qualified,2024/08/15,09-Aug-2024,124582000,,
LD1537,UD Sinar Jaya,Logistics,Website,Yuni Shara,Jakarta,2024/10/07,Qualified,31/12/2024,11-Oct-2024,3826000,,Send revised proposal
LD1282,PT. Berkah Mandiri,Technology,LinkedIn,,jakarta,06-24-2025,Closed Won,2025-08-07,2025-07-30,123615000,,Client on vacation
LD1360,PT. Bumi Perkasa,Technology,Social Media,Rudi Hartono,Surabaya,01-03-2025,Negotiation,01-24-2025,,43804000,,
LD1470,CV Sumber Makmur,Finance,Trade Show,,Semarang,11/12/2024,Qualified,04-Mar-2025,12/03/2025,44442000,,
LD1603,CV Central Distribusi,Manufacturing,website,Yuni Shara,Surabaya,2025/06/19,Qualified,2025-07-16,2025/07/23,88680000,,
LD1474,PT Berkah Mandiri,F&B,,,Denpasar,2024/10/24,Contacted,2025/01/20,01-30-2025,,,VIP client
LD1657,PT. Central Distribusi,Healthcare,Referral,Yuni Shara,Yogyakarta,08-Aug-2025,Proposal Sent,09-14-2025,,37175000,,
LD1442,CV Sejahtera Bersama,,Trade Show,Andi Wijaya,bandung,18-Jul-2025,Contacted,31-Jul-2025,2025/08/08,,,VIP client
